Odległość do piłki,Wartość z czujnika lewego,Wartość z czujnika prawego
2,"7780.799615","7387.194313"
3,"8318.137584","8364.10453"
4,"7340.2222","6993.866279"
5,"6053.363328","5767.105651"
6,"5216.61082","5029.89899"
7,"4366.262745","4334.347917"
8,"3956.949782","3875.203271"
9,"3629.119926","3501.318182"
10,"3264.490872","3120.025641"
11,"2902.293996","2815.218324"
12,"2685.820809","2594.338488"
13,"2560.291417","2426.931271"
14,"2354.944805","2217.032895"
15,"2191.632399","2091.435986"
16,"2066.078067","1970.516373"
17,"1944.336323","1806.977578"
18,"1756.851385","1699.710037"
19,"1677.359862","1611.165109"
20,"1603.756579","1527.873377"
21,"1492.209622","1380.49501"
22,"1435.164948","1346.626204"
23,"1368.446394","1271.832298"
24,"1313.357143","1199.407708"
25,"1251.582888","1153.330258"
26,"1206.343458","1109.593886"
27,"1157.610417","1077.421569"
28,"1113.545455","1024.010471"
29,"1074.938575","991.7826825"
30,"1028.267442","955.1822222"
31,"979.5052265","930.057047"
32,"960.6421801","904.1445087"
